ID;Age;Income;DaysWithoutFrequency;LifetimeValue;NumberOfFrequencies;AttendedClasses;AllowedWeeklyVisitsBySLA;AllowedNumberOfVisitsBySLA;RealNumberOfVisits;NumberOfRenewals;NumberOfReferences;LastPeriodDuration;Recency;EnrollmentDuration_semesters;Monetary;Frequency;Gender;UseByTime;AthleticsActivities;WaterActivities;FitnessActivities;DanceActivities;TeamActivities;RacketActivities;CombatActivities;NatureActivities;SpecialActivities;OtherActivities;HasReferences;Dropout;R_Score;F_Score;M_Score;RFM_Segment;RFM_Score;RFM_Score_Labels
10025;13;0.0;5;596.3;27.0;18;2.0;6.28;3;4;0;183;5;8.5;70.15294117647058;3.176470588235294;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;1;1;511;7;Low Value
10026;17;1290.0;62;907.2;64.0;67;2.0;17.42;0;2;0;365;1249;3.33;272.43243243243245;19.21921921921922;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;2;4;5;245;11;Medium Value
10027;20;1970.0;76;60.0;7.0;0;7.0;60.97;0;0;0;364;556;0.67;89.55223880597015;10.44776119402985;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;3;2;332;8;Medium Value
10028;20;1230.0;56;201.7;27.0;0;7.0;30.03;3;3;0;364;849;4.0;50.425;6.75;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;2;1;321;6;Low Value
10029;22;1520.0;34;260.1;34.0;1;7.0;60.97;4;2;0;364;148;2.67;97.41573033707866;12.734082397003746;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;3;2;432;9;Medium Value
10030;21;1820.0;4;73.6;21.0;0;7.0;30.03;7;0;0;180;915;0.5;147.2;42.0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;5;4;354;12;High Value
10031;2;0.0;107;492.85;17.0;17;2.0;15.14;0;1;0;183;1195;2.33;211.5236051502146;7.296137339055794;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;2;5;225;9;Medium Value
10032;21;1670.0;92;37.6;1.0;0;7.0;28.98;1;1;0;364;1598;0.67;56.11940298507463;1.4925373134328357;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;111;3;Low Value
10033;1;0.0;78;186.2;7.0;5;2.0;17.42;0;1;0;183;96;1.0;186.2;7.0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;5;2;5;525;12;High Value
10035;19;1720.0;50;319.05;57.0;0;7.0;60.97;3;1;0;183;1476;2.5;127.62;22.8;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;1;4;3;143;8;Medium Value
10036;13;0.0;9;2209.97;199.0;166;2.0;17.14;5;5;1;183;9;10.33;213.93707647628264;19.26427879961278;0;0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0;5;4;5;545;14;High Value
10037;28;1620.0;39;85.6;22.0;0;7.0;60.97;5;0;0;365;1249;0.67;127.76119402985073;32.83582089552239;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;5;3;253;10;Medium Value
10038;38;1910.0;1;554.6;127.0;125;3.0;26.13;25;1;0;183;1;2.33;238.02575107296138;54.50643776824034;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;5;5;555;15;High Value
10039;46;3300.0;4;192.4;9.0;0;7.0;28.98;5;0;0;180;276;0.83;231.80722891566268;10.843373493975903;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;3;5;435;12;High Value
10040;26;2100.0;39;188.6;28.0;0;7.0;60.97;6;0;0;365;1226;1.17;161.1965811965812;23.931623931623932;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;4;4;244;10;Medium Value
10041;20;1360.0;33;89.9;8.0;0;7.0;32.97;1;0;0;364;147;0.83;108.31325301204821;9.63855421686747;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;2;2;422;8;Medium Value
10042;22;1500.0;35;80.5;11.0;0;7.0;59.01;4;0;0;180;238;1.17;68.80341880341881;9.401709401709402;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;2;1;421;7;Low Value
10043;22;2190.0;292;73.7;29.0;0;7.0;28.98;13;1;0;183;1798;2.0;36.85;14.5;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;3;1;131;5;Low Value
10044;34;3580.0;26;565.8;121.0;0;7.0;60.97;12;3;0;364;483;5.33;106.15384615384615;22.70168855534709;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;4;2;442;10;Medium Value
10045;6;0.0;29;921.45;63.0;52;2.0;17.42;5;3;0;364;486;4.33;212.80600461893766;14.549653579676674;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;3;5;435;12;High Value
10046;19;1650.0;48;45.4;3.0;0;7.0;60.97;1;0;0;364;528;0.5;90.8;6.0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;3;2;2;322;7;Low Value
10047;11;0.0;15;270.4;15.0;15;2.0;17.42;4;0;0;180;188;1.33;203.3082706766917;11.278195488721805;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;3;5;435;12;High Value
10048;42;4250.0;2;203.6;25.0;25;2.0;17.42;8;0;0;365;1189;1.0;203.6;25.0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;4;5;245;11;Medium Value
10049;56;6540.0;2;540.1;112.0;0;7.0;60.97;32;1;0;183;2;2.5;216.04000000000002;44.8;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;5;5;555;15;High Value
10050;23;1500.0;7;303.6;37.0;0;7.0;60.97;5;0;0;180;525;1.33;228.27067669172934;27.819548872180448;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;5;5;355;13;High Value
10051;12;0.0;3;852.3;42.0;42;4.0;34.84;4;2;0;183;3;2.5;340.91999999999996;16.8;0;0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;4;5;545;14;High Value
10052;21;2020.0;20;180.3;13.0;0;7.0;60.97;4;1;0;183;344;2.0;90.15;6.5;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;2;2;422;8;Medium Value
10053;33;1440.0;477;473.0;11.0;0;7.0;30.03;0;2;0;180;934;5.67;83.42151675485009;1.9400352733686068;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;1;2;312;6;Low Value
10054;52;7210.0;61;825.5;78.0;0;7.0;62.02;1;3;0;183;112;6.17;133.79254457050243;12.641815235008103;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;5;3;3;533;11;Medium Value
10055;54;4910.0;82;270.4;10.0;0;7.0;39.97;0;0;0;180;255;1.33;203.3082706766917;7.518796992481203;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;2;5;425;11;Medium Value
10056;32;2520.0;43;129.6;19.0;0;3.0;26.13;7;0;0;364;836;1.0;129.6;19.0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;4;3;343;10;Medium Value
10057;23;1720.0;52;109.7;10.0;0;7.0;60.97;2;1;0;183;1109;1.33;82.4812030075188;7.518796992481203;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;2;2;2;222;6;Low Value
10058;17;1680.0;112;476.1;43.0;0;7.0;60.97;0;1;0;364;1618;2.0;238.05;21.5;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;4;5;145;10;Medium Value
10059;21;1730.0;55;151.0;13.0;0;7.0;60.97;1;1;0;364;535;3.67;41.14441416893733;3.542234332425068;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;1;1;311;5;Low Value
10060;52;2960.0;1;1988.6;370.0;0;7.0;49.98;20;5;0;183;1;9.83;202.29908443540182;37.639877924720246;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;5;5;555;15;High Value
10061;7;0.0;5;816.2;72.0;65;2.0;17.42;5;2;0;183;5;4.5;181.3777777777778;16.0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;4;4;544;13;High Value
10062;21;2130.0;133;73.6;15.0;0;7.0;28.98;8;1;0;180;1639;1.17;62.9059829059829;12.820512820512821;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;3;1;131;5;Low Value
10063;44;2490.0;7;1324.3;286.0;0;7.0;60.97;16;3;0;183;7;6.33;209.21011058451816;45.18167456556082;0;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;5;5;5;555;15;High Value
10064;43;5230.0;1;76.6;5.0;0;7.0;60.97;2;0;0;181;1275;0.67;114.32835820895521;7.462686567164178;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;2;3;223;7;Low Value
10065;9;0.0;25;294.2;20.0;13;2.0;17.42;1;3;0;364;482;4.0;73.55;5.0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;1;2;412;7;Low Value
10066;23;1910.0;25;45.1;1.0;0;7.0;30.03;1;0;0;180;941;1.17;38.54700854700855;0.8547008547008548;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;1;1;311;5;Low Value
10067;19;1360.0;48;173.9;25.0;0;7.0;62.02;4;1;0;183;99;1.67;104.13173652694611;14.970059880239521;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;5;3;2;532;10;Medium Value
10068;43;2176.851112764662;1;849.8;214.0;0;7.0;21.98;9;3;0;183;1;6.33;134.24960505529225;33.80726698262243;0;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;5;5;3;553;13;High Value
10069;38;4790.0;74;887.7;18.0;17;2.0;8.58;0;4;0;183;530;7.33;121.10504774897682;2.4556616643929057;1;0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1;3;1;3;313;7;Low Value
10070;27;2320.0;132;310.2;23.0;0;7.0;60.97;0;1;0;183;150;1.67;185.74850299401197;13.77245508982036;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;3;5;435;12;High Value
10071;23;2500.0;12;30.0;8.0;0;7.0;28.98;8;0;0;183;469;0.17;176.47058823529412;47.05882352941176;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;5;4;454;13;High Value
10072;3;0.0;1;836.3;35.0;29;2.0;14.86;5;2;0;183;1;4.33;193.1408775981524;8.083140877598153;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;2;5;525;12;High Value
10073;23;2590.0;223;70.6;3.0;0;7.0;59.01;1;1;0;180;1729;1.33;53.08270676691728;2.255639097744361;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;1;1;1;111;3;Low Value
10074;3;0.0;36;197.1;13.0;13;2.0;19.42;3;0;0;365;1223;0.83;237.4698795180723;15.66265060240964;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;4;5;245;11;Medium Value
10075;22;2530.0;29;1299.4;412.0;0;7.0;60.97;30;4;0;364;822;6.0;216.5666666666667;68.66666666666667;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;5;5;355;13;High Value
10076;9;0.0;5;708.2;64.0;64;2.0;17.42;6;2;0;183;5;4.33;163.5565819861432;14.780600461893764;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;3;4;534;12;High Value
10077;3;0.0;5;1171.45;116.0;98;2.0;17.14;7;3;0;183;5;6.0;195.24166666666667;19.333333333333332;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;4;5;545;14;High Value
10078;37;3180.0;343;121.1;2.0;0;1.0;8.71;0;1;0;364;1849;2.0;60.55;1.0;1;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;111;3;Low Value
10079;23;2110.0;289;85.9;7.0;0;7.0;41.02;6;2;0;183;381;5.67;15.149911816578484;1.2345679012345678;0;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;1;1;411;6;Low Value
10080;23;2020.0;13;93.6;13.0;0;7.0;23.03;5;0;0;183;1200;1.0;93.6;13.0;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;3;2;232;7;Low Value
10081;29;1490.0;31;101.6;29.0;0;7.0;62.02;14;0;0;365;1218;1.0;101.6;29.0;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;5;2;252;9;Medium Value
10082;31;1500.0;42;1286.0;213.0;24;7.0;62.02;9;4;0;183;93;6.83;188.2869692532943;31.185944363103953;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;5;5;5;555;15;High Value
10083;49;4990.0;47;233.6;24.0;19;4.0;34.84;5;1;0;364;1553;1.33;175.6390977443609;18.045112781954888;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;4;4;144;9;Medium Value
10084;19;1600.0;13;73.9;12.0;0;7.0;34.02;6;1;0;183;337;1.33;55.56390977443609;9.022556390977444;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;4;2;1;421;7;Low Value
10085;57;5690.0;102;160.4;6.0;0;7.0;59.01;0;2;0;180;702;1.5;106.93333333333334;4.0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;1;2;312;6;Low Value
10086;31;3780.0;34;61.6;1.0;0;7.0;38.99;1;0;0;180;295;0.33;186.66666666666666;3.0303030303030303;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;4;1;5;415;10;Medium Value
10087;22;1810.0;14;186.3;22.0;0;7.0;60.97;5;0;0;364;471;1.83;101.80327868852459;12.021857923497267;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;4;3;2;432;9;Medium Value
10088;35;3270.0;51;218.6;20.0;20;4.0;34.84;7;1;0;364;1557;1.33;164.36090225563908;15.037593984962406;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;3;4;134;8;Medium Value
10089;20;1300.0;13;82.6;14.0;0;7.0;30.03;6;1;0;183;1106;1.17;70.5982905982906;11.965811965811966;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;3;1;231;6;Low Value
10090;15;0.0;33;257.8;18.0;18;2.0;17.42;3;3;0;365;1219;4.33;59.53810623556582;4.157043879907621;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;1;1;211;4;Low Value
10091;11;0.0;5;716.1;52.0;0;2.0;17.42;4;2;0;183;5;4.33;165.3810623556582;12.009237875288683;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;3;4;534;12;High Value
10092;8;0.0;6;1213.3;107.0;92;2.0;17.42;4;4;0;183;6;6.67;181.90404797601198;16.041979010494753;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;4;4;544;13;High Value
10093;39;1670.0;53;61.6;19.0;0;7.0;60.97;6;0;0;181;1297;0.67;91.94029850746269;28.35820895522388;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;5;2;252;9;Medium Value
10094;20;1310.0;81;86.1;3.0;0;7.0;60.97;0;0;0;364;724;0.67;128.50746268656715;4.477611940298507;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;1;3;313;7;Low Value
10095;83;5080.0;1;692.2;291.0;0;7.0;59.01;46;3;0;183;1;5.83;118.73070325900515;49.914236706689536;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;5;5;3;553;13;High Value
10096;8;0.0;5;714.2;40.0;37;2.0;17.42;5;2;0;183;5;4.33;164.94226327944574;9.237875288683602;1;0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;5;2;4;524;11;Medium Value
10097;29;1890.0;881;787.0;7.0;7;2.0;17.42;0;4;0;364;1338;6.0;131.16666666666666;1.1666666666666667;1;0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;1;3;213;6;Low Value
10098;35;6490.0;0;216.5;37.0;0;7.0;59.99;4;0;0;181;1210;1.67;129.64071856287427;22.155688622754493;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;2;4;3;243;9;Medium Value
10099;19;1450.0;69;118.6;3.0;0;7.0;62.02;0;0;0;364;1065;0.67;177.0149253731343;4.477611940298507;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;2;1;4;214;7;Low Value
10100;22;2540.0;61;65.4;6.0;0;7.0;60.97;1;0;0;364;541;0.5;130.8;12.0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;3;3;333;9;Medium Value
10101;20;1590.0;121;289.6;32.0;0;7.0;60.97;0;1;0;364;905;2.0;144.8;16.0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;4;4;344;11;Medium Value
10102;27;2580.0;3;310.6;78.0;6;7.0;4.97;2;2;0;183;1177;1.67;185.98802395209583;46.706586826347305;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1;2;5;5;255;12;High Value
10103;34;2110.0;91;374.6;43.0;0;7.0;60.97;0;2;0;364;884;2.33;160.7725321888412;18.454935622317596;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;3;4;4;344;11;Medium Value
10104;17;1300.0;88;499.1;48.0;49;1.0;8.71;1;3;0;364;881;3.67;135.99455040871936;13.079019073569482;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;3;3;333;9;Medium Value
10105;22;1660.0;38;68.0;8.0;0;7.0;60.97;4;0;0;365;1434;0.67;101.49253731343283;11.940298507462686;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;3;2;132;6;Low Value
10106;20;2020.0;49;217.7;156.0;0;7.0;60.97;1;3;0;364;842;4.0;54.425;39.0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;3;5;1;351;9;Medium Value
10108;23;1970.0;47;41.6;3.0;0;7.0;52.99;3;0;0;183;1135;0.33;126.06060606060606;9.09090909090909;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;2;3;223;7;Low Value
10110;32;6080.0;122;198.2;13.0;0;7.0;28.98;6;1;0;180;1630;2.17;91.33640552995392;5.990783410138249;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;2;2;122;5;Low Value
10111;24;2250.0;1633;33.6;2.0;0;7.0;28.98;2;5;0;180;1633;9.17;3.6641221374045805;0.21810250817884405;1;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;1;1;1;111;3;Low Value
10112;15;0.0;61;251.1;29.0;29;2.0;17.42;1;0;0;365;1248;1.67;150.35928143712576;17.365269461077844;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;4;4;244;10;Medium Value
